Flow Bytes/s,Flow Duration,Flow IAT Max,Packet Length Mean,Fwd Packets/s,Average Packet Size,Fwd Packet Length Mean,Bwd Segment Size Avg,Packet Length Variance,Flow Packets/s,Bwd Packets/s,Idle Mean,Label
958.7399417907892,116820,116820.0,46.33333333333333,8.560178051703476,69.5,27.0,85.0,1121.3333333333333,17.12035610340695,8.560178051703476,1000000,BROWSING
77.39972068425077,91318159,44999386.0,321.2727272727272,0.1204579693727728,336.57142857142856,75.81818181818183,623.4,253470.1125541125,0.2299652142571117,0.1095072448843389,1292,BROWSING
1.0652219506601366,59142604,44999830.0,9.0,0.0338165698622265,10.5,0.0,15.75,567.0,0.1014497095866796,0.0676331397244531,1289,BROWSING
0.0,115017624,73003946.0,0.0,0.0260829592515317,0.0,0.0,0.0,0.0,0.0260829592515317,0.0,717618,BROWSING
35.148999309754565,73657858,40005106.0,286.6,0.0543051360521507,318.44444444444446,508.75,110.8,57300.93333333333,0.1221865561173391,0.0678814200651884,1292,BROWSING
106.74688857080471,412190,412190.0,22.0,4.852131298672942,33.0,22.0,0.0,0.0,4.852131298672942,0.0,1000000,BROWSING
106.71297362976904,412321,412321.0,22.0,4.850589710444047,33.0,22.0,0.0,0.0,4.850589710444047,0.0,1000000,BROWSING
0.0,84012104,42016431.0,0.0,0.0357091401972268,0.0,0.0,0.0,0.0,0.0357091401972268,0.0,717618,BROWSING
54.012345512207496,92515886,45002451.0,166.5666666666667,0.1729432716020252,172.31034482758622,41.0,333.9230769230769,154513.1505747127,0.3134596797786707,0.1405164081766454,1287,BROWSING
1565.6884205839797,134765,133956.0,63.8,14.84064853634104,79.75,63.0,42.5,2028.2,29.68129707268208,14.84064853634104,1460,BROWSING
3979.231076463366,135202,135202.0,193.0,7.396340290824101,289.5,41.0,497.0,69312.0,14.792680581648202,7.396340290824101,1000000,CHAT
1481.5753820800685,126217,126217.0,73.66666666666666,7.922863005775767,110.5,34.0,153.0,4720.333333333333,15.845726011551534,7.922863005775767,1000000,CHAT
2014.634303581214,124092,124092.0,95.66666666666666,8.058537214324856,143.5,37.0,213.0,10325.333333333332,16.117074428649712,8.058537214324856,1000000,CHAT
0.0,18822,18804.0,0.0,53.12931675698651,0.0,0.0,0.0,0.0,159.38795027095952,106.25863351397302,420,CHAT
94362.74509803922,816,721.0,30.75,3676.470588235294,41.0,25.666666666666664,0.0,470.25,3676.470588235294,0.0,1000000,CHAT
1965.402792860312,130762,130762.0,96.66666666666666,7.647481684281367,145.0,33.0,224.0,12160.333333333332,15.294963368562732,7.647481684281367,1000000,CHAT
1908.2392361032853,133107,133107.0,99.66666666666666,7.51275289804443,149.5,45.0,209.0,8965.333333333332,15.02550579608886,7.51275289804443,1000000,CHAT
1994.9249110263488,125318,125318.0,95.66666666666666,7.979699644105395,143.5,37.0,213.0,10325.333333333332,15.95939928821079,7.979699644105395,1000000,CHAT
